"Numero_expedient","Codi_districte","Nom_districte","Codi_barri","Nom_barri","Codi_carrer","Nom_carrer","Num_postal ","Descripcio_dia_setmana","NK_Any","Mes_any","Nom_mes","Dia_mes","Hora_dia","Descripcio_torn","Descripcio_causa_conductor","Coordenada_UTM_X_ED50","Coordenada_UTM_Y_ED50","Longitud","Latitud"
"2018S004480    ",10,"Sant Martí",70,"el Besòs i el Maresme",701414,"C-31","020850000","Dilluns","2018",6,"Juny","11","17","Manca d'atenció a la conducció","Tarda","433994.44 ","4585956.97","2.20900300613242","41.4206151298146"
"2018S005642    ",10,"Sant Martí",68,"el Poblenou",332000,"Taulat","0001 0001","Divendres","2018",7,"Juliol","20","19","Altres","Tarda","433292.17 ","4583113.74","2.20091359324012","41.3949488709739"
"2018S004626    ",10,"Sant Martí",68,"el Poblenou",55501,"Calvell","0035 0035","Diumenge","2018",6,"Juny","17","20","Gir indegut o sense precaució","Tarda","433841.91 ","4583498.75","2.20744689483619","41.3984620201587"
"2018S009212    ",10,"Sant Martí",68,"el Poblenou",701265,"Litoral (Besòs)","000710000","Diumenge","2018",12,"Desembre","2","11","Altres","Matí","433592.77 ","4582860.32","2.20453686466291","41.3926912796393"
"2018S005995    ",10,"Sant Martí",68,"el Poblenou",701265,"Litoral (Besòs)","000760000","Dijous","2018",8,"Agost","2","22","No respectar distàncies","Nit","433600.12 ","4582986.31","2.20461094808564","41.3938266489409"
"2018S000366    ",10,"Sant Martí",68,"el Poblenou",701265,"Litoral (Besòs)","000760000","Dilluns","2018",1,"Gener","15","07","Manca d'atenció a la conducció","Matí","433600.12 ","4582986.31","2.20461094808564","41.3938266489409"
"2018S008333    ",10,"Sant Martí",68,"el Poblenou",701266,"Litoral (Llobregat)","000740000","Dimecres","2018",10,"Octubre","31","14","Canvi de carril sense precaució","Tarda","433827.82 ","4583265.73","2.20730384591258","41.3963621042650"
"2018S002051    ",10,"Sant Martí",68,"el Poblenou",701266,"Litoral (Llobregat)","000750000","Dimecres","2018",3,"Març","14","07","Manca d'atenció a la conducció","Matí","433777.75 ","4583199.54","2.20671219394737","41.3957618211142"
"2018S003070    ",10,"Sant Martí",68,"el Poblenou",701266,"Litoral (Llobregat)","000780000","Dissabte","2018",4,"Abril","21","06","Manca d'atenció a la conducció","Matí","433600.12 ","4582986.31","2.20461094808564","41.3938266489409"
"2018S009896    ",10,"Sant Martí",68,"el Poblenou",701266,"Litoral (Llobregat)","000790000","Divendres","2018",12,"Desembre","28","12","Manca d'atenció a la conducció","Matí","433406.97 ","4582829.32","2.20231801214324","41.3923966928595"
